Character,Line,Gender,Emotion
EGEON,"So that, in this unjust divorce of us,",Female,Neutral
EGEON,Fortune had left to both of us alike,Female,Neutral
EGEON,"What to delight in, what to sorrow for.",Female,Neutral
EGEON,"Her part, poor soul, seeming as burdenèd",Female,Neutral
EGEON,"With lesser weight, but not with lesser woe,",Female,Positive
EGEON,"Was carried with more speed before the wind,",Female,Negative
EGEON,And in our sight they three were taken up,Female,Neutral
EGEON,"By fishermen of Corinth, as we thought.",Female,Positive
EGEON,"At length, another ship had seized on us",Female,Negative
EGEON,"And, knowing whom it was their hap to save,",Female,Positive
EGEON,"Gave healthful welcome to their shipwracked guests,",Female,Neutral
EGEON,And would have reft the fishers of their prey,Female,Positive
EGEON,Had not their bark been very slow of sail;,Female,Positive
EGEON,And therefore homeward did they bend their course.,Female,Negative
EGEON,"Thus have you heard me severed from my bliss,",Female,Negative
EGEON,That by misfortunes was my life prolonged,Female,Neutral
EGEON,To tell sad stories of my own mishaps.,Female,Neutral
DUKE,"And for the sake of them thou sorrowest for,",Female,Neutral
DUKE,Do me the favor to dilate at full,Female,Negative
DUKE,What have befall’n of them and thee till now.,Female,Positive
EGEON,"My youngest boy, and yet my eldest care,",Female,Neutral
EGEON,At eighteen years became inquisitive,Female,Neutral
EGEON,"After his brother, and importuned me",Female,Positive
EGEON,"That his attendant—so his case was like,",Female,Neutral
EGEON,"Reft of his brother, but retained his name—",Female,Negative
EGEON,"Might bear him company in the quest of him,",Female,Negative
EGEON,"Whom whilst I labored of a love to see,",Female,Positive
EGEON,I hazarded the loss of whom I loved.,Female,Negative
EGEON,"Five summers have I spent in farthest Greece,",Female,Neutral
EGEON,"Roaming clean through the bounds of Asia,",Female,Neutral
EGEON,"And, coasting homeward, came to Ephesus,",Female,Negative
EGEON,"Hopeless to find, yet loath to leave unsought",Female,Positive
EGEON,Or that or any place that harbors men.,Female,Negative
EGEON,But here must end the story of my life;,Female,Negative
EGEON,And happy were I in my timely death,Female,Negative
EGEON,Could all my travels warrant me they live.,Female,Neutral
DUKE,"Hapless Egeon, whom the fates have marked",Female,Positive
DUKE,"To bear the extremity of dire mishap,",Female,Neutral
DUKE,"Now, trust me, were it not against our laws,",Female,Neutral
DUKE,"Against my crown, my oath, my dignity,",Female,Positive
DUKE,"Which princes, would they, may not disannul,",Female,Neutral
DUKE,My soul should sue as advocate for thee.,Female,Positive
DUKE,"But though thou art adjudgèd to the death,",Female,Neutral
DUKE,And passèd sentence may not be recalled,Female,Negative
DUKE,"But to our honor’s great disparagement,",Female,Neutral
DUKE,Yet will I favor thee in what I can.,Female,Negative
DUKE,"Therefore, merchant, I’ll limit thee this day",Female,Neutral
DUKE,To seek thy life by beneficial help.,Female,Negative
DUKE,Try all the friends thou hast in Ephesus;,Female,Negative
DUKE,"Beg thou, or borrow, to make up the sum,",Female,Negative
DUKE,"And live. If no, then thou art doomed to die.—",Female,Neutral
DUKE,"Jailer, take him to thy custody.",Female,Negative
JAILER,"I will, my lord.",Female,Positive
EGEON,"Hopeless and helpless doth Egeon wend,",Female,Positive
EGEON,But to procrastinate his lifeless end.,Female,Neutral
NARRATOR,They exit.,Male,Negative
